aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
krum,persistent_sybil,18,9,1,3,0.2,1.0,2001,0.17029822,0.0020065657
krum,persistent_sybil,19,9,1,3,0.2,1.0,2001,0.44943163,0.005295499
krum,persistent_sybil,0,9,1,3,0.2,1.0,3001,0.25635785,0.003020577
krum,persistent_sybil,1,9,1,3,0.2,1.0,3001,0.39238477,0.004623336
krum,persistent_sybil,2,9,1,3,0.2,1.0,3001,0.28589442,0.0033685963
krum,persistent_sybil,3,9,1,3,0.2,1.0,3001,0.3875281,0.004566111
krum,persistent_sybil,4,9,1,3,0.2,1.0,3001,0.1783196,0.0021010789
krum,persistent_sybil,5,9,1,3,0.2,1.0,3001,0.20347826,0.0023975149
krum,persistent_sybil,6,9,1,3,0.2,1.0,3001,0.26794896,0.003157151
krum,persistent_sybil,7,9,1,3,0.2,1.0,3001,0.32204407,0.0037945353
krum,persistent_sybil,8,9,1,3,0.2,1.0,3001,0.41345084,0.00487155
krum,persistent_sybil,9,9,1,3,0.2,1.0,3001,0.28971267,0.0034135855
krum,persistent_sybil,10,9,1,3,0.2,1.0,3001,0.17234446,0.002030676
krum,persistent_sybil,11,9,1,3,0.2,1.0,3001,0.52178663,0.006148034
krum,persistent_sybil,12,9,1,3,0.2,1.0,3001,0.1466147,0.001727511
krum,persistent_sybil,13,9,1,3,0.2,1.0,3001,0.2416306,0.0028470508
krum,persistent_sybil,14,9,1,3,0.2,1.0,3001,0.4802889,0.00565908
krum,persistent_sybil,15,9,1,3,0.2,1.0,3001,0.355309,0.0041864845
krum,persistent_sybil,16,9,1,3,0.2,1.0,3001,0.3194902,0.0037644438
krum,persistent_sybil,17,9,1,3,0.2,1.0,3001,0.3595727,0.0042367224
krum,persistent_sybil,18,9,1,3,0.2,1.0,3001,0.08774578,0.0010338785
krum,persistent_sybil,19,9,1,3,0.2,1.0,3001,0.32685292,0.0038511963
krum,persistent_sybil,0,9,1,3,0.2,1.0,4001,0.44883117,0.0052884244
krum,persistent_sybil,1,9,1,3,0.2,1.0,4001,0.0701128,0.0008261152
krum,persistent_sybil,2,9,1,3,0.2,1.0,4001,0.24072921,0.00283643
krum,persistent_sybil,3,9,1,3,0.2,1.0,4001,0.31393534,0.0036989928
krum,persistent_sybil,4,9,1,3,0.2,1.0,4001,0.32085848,0.003780566
krum,persistent_sybil,5,9,1,3,0.2,1.0,4001,0.40144774,0.0047301217
krum,persistent_sybil,6,9,1,3,0.2,1.0,4001,0.440541,0.005190744
krum,persistent_sybil,7,9,1,3,0.2,1.0,4001,0.16424228,0.0019352107
krum,persistent_sybil,8,9,1,3,0.2,1.0,4001,0.37192783,0.0043822983
krum,persistent_sybil,9,9,1,3,0.2,1.0,4001,0.20409724,0.002404808
krum,persistent_sybil,10,9,1,3,0.2,1.0,4001,0.067562744,0.00079606875
krum,persistent_sybil,11,9,1,3,0.2,1.0,4001,0.20453368,0.0024099506
krum,persistent_sybil,12,9,1,3,0.2,1.0,4001,0.28902102,0.003405436
krum,persistent_sybil,13,9,1,3,0.2,1.0,4001,0.21608566,0.0025460634
krum,persistent_sybil,14,9,1,3,0.2,1.0,4001,0.31876493,0.0037558982
krum,persistent_sybil,15,9,1,3,0.2,1.0,4001,0.4208688,0.0049589532
krum,persistent_sybil,16,9,1,3,0.2,1.0,4001,0.14624308,0.0017231322
krum,persistent_sybil,17,9,1,3,0.2,1.0,4001,0.29602408,0.0034879507
krum,persistent_sybil,18,9,1,3,0.2,1.0,4001,0.48746258,0.005743605
krum,persistent_sybil,19,9,1,3,0.2,1.0,4001,0.31404382,0.003700271
dss_krum,persistent_sybil,0,9,1,3,0.2,1.0,1,0.29861993,0.0035185365
dss_krum,persistent_sybil,1,9,1,3,0.2,1.0,1,0.3879176,0.0045707007
dss_krum,persistent_sybil,2,9,1,3,0.2,1.0,1,0.22852731,0.0026926592
dss_krum,persistent_sybil,3,9,1,3,0.2,1.0,1,0.4022157,0.00473917
dss_krum,persistent_sybil,4,9,1,3,0.2,1.0,1,0.46331763,0.0054591135
dss_krum,persistent_sybil,5,9,1,3,0.2,1.0,1,0.37281993,0.0043928097
dss_krum,persistent_sybil,6,9,1,3,0.2,1.0,1,0.29438955,0.0034686914
dss_krum,persistent_sybil,7,9,1,3,0.2,1.0,1,0.26334447,0.003102898
dss_krum,persistent_sybil,8,9,1,3,0.2,1.0,1,0.2603167,0.0030672227
dss_krum,persistent_sybil,9,9,1,3,0.2,1.0,1,0.29907483,0.0035238964
